S.N	Scrip Name	WACC Calculated Quantity	WACC Rate	 Total Cost of Capital 	Last Modification Date
1	AHL	10	100	1,000.00	3/20/2023 9:38
2	AKPL	183	387.97	70,998.69	12/13/2023 11:50
3	API	232	327.87	76,066.01	11/18/2023 14:58
4	BEDC	10	100	1,000.00	5/23/2023 12:07
5	CITY	10	100	1,000.00	6/5/2023 12:40
6	CZBIL	341	332.54	113,396.24	2/6/2022 20:09
7	DORDI	10	100	1,000.00	7/14/2022 13:04
8	EDBL	154	707.38	108,936.47	4/10/2023 7:55
9	GBILD86/87	25	1000	25,000.00	9/17/2021 21:17
10	GBIME	286	425.76	121,766.51	5/7/2024 14:58
11	GCIL	11	404.55	4,450.00	3/26/2024 8:15
12	HBL	176	340.28	59,889.07	3/19/2023 15:02
13	HIDCL	109	208.87	22,767.01	7/4/2023 12:27
14	HRL	10	206	2,060.00	1/5/2024 7:36
15	ILI	10	236.91	2,369.10	8/3/2023 8:27
16	JSLBB	64	2474.54	158,370.77	7/4/2023 12:21
17	KBL	306	357.54	109,407.64	1/23/2023 12:51
18	KDBY	1000	10	10,000.00	7/20/2022 11:25
19	KEF	1100	10.02	11,020.10	4/30/2021 7:15
20	LSL	115	345.07	39,682.70	4/3/2024 15:35
21	MBJC	10	100	1,000.00	12/26/2021 16:10
22	MND84/85	100	1000	100,000.00	9/3/2021 0:46
23	NABIL	197	786.23	154,886.83	4/10/2023 7:51
24	NBF2	1000	10	10,000.00	12/2/2020 16:43
25	NBF3	1000	10	10,000.00	11/15/2021 4:44
26	NBL	269	396.31	106,607.43	7/4/2023 12:28
27	NBLD87	100	1000	100,000.00	8/13/2021 11:02
28	NCCD86	100	1000	100,000.00	8/17/2021 5:27
29	NGPL	408	453.12	184,872.22	4/11/2023 9:33
30	NIBLSF	1624	10	16,240.00	11/18/2023 15:01
31	NIBLSTF	1000	10	10,000.00	5/21/2024 13:01
32	NIBSF2	1000	10	10,000.00	9/17/2021 21:37
33	NICA	258	780.23	201,299.60	1/15/2024 11:02
34	NICBF	1000	10	10,000.00	12/2/2020 16:44
35	NICD88	100	1000	100,000.00	9/15/2021 4:45
36	NICFC	2000	10	20,000.00	7/20/2022 11:26
37	NICSF	1000	10	10,000.00	9/17/2021 21:41
38	NIFRA	540	473.52	255,700.06	3/10/2022 12:48
39	NIMB	283	389.78	110,307.63	7/4/2023 12:37
40	NIMBD90	25	1000	25,000.00	3/26/2024 8:17
41	NLG	209	910.74	190,345.07	6/2/2024 14:52
42	NMB	52	100	5,200.00	8/2/2022 16:10
43	NMB50	4000	16.43	65,730.00	8/20/2021 19:56
44	NMBD87/88	100	1000	100,000.00	8/29/2021 23:06
45	NMBPO	2324	100	232,400.00	3/22/2022 5:30
46	NRIC	140	1271.76	178,046.25	11/18/2023 15:02
47	PBD85	25	1000	25,000.00	9/3/2021 19:06
48	PBLD87	100	1000	100,000.00	8/16/2021 8:49
49	PCBL	120	410.25	49,230.09	3/17/2023 11:28
50	PMLI	131	735.26	96,318.42	11/18/2023 15:01
51	PRIN	6	100	4,600.00	6/18/2023 19:59
52	PRVU	332	275.52	91,471.94	3/19/2023 9:37
53	PSF	10000	10	100,000.00	6/19/2021 6:55
54	RADHI	741	370.03	274,193.92	2/28/2024 16:12
55	RMF1	10000	10	100,000.00	8/17/2021 20:05
56	SABSL	61	896.4	54,680.40	7/4/2023 12:23
57	SALICO	141	1070.22	150,901.48	5/8/2023 12:04
58	SANIMA	240	322.45	77,388.79	2/8/2024 10:07
59	SBCF	1000	10	10,000.00	8/1/2021 14:51
60	SDBD87	100	1000	100,000.00	8/27/2021 3:50
61	SHEL	20	100	2,000.00	5/3/2024 6:55
62	SHPC	121	439.1	53,130.62	2/19/2024 8:06
63	SJLIC	10	120	1,200.00	7/5/2024 11:48
64	SSIS	1000	10	10,000.00	8/29/2021 20:28
65	TVCL	30	100	3,000.00	1/10/2023 9:34
66	USHEC	10	100	1,000.00	8/17/2022 8:47
67	VLBS	144	1348.28	194,152.65	7/4/2023 12:25
					
		47,333		4,746,083.69	
